Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/18/2022,03/20/2022,TACO BELL 732759,Food & Drink,Sale,-7.71,
03/18/2022,03/20/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
03/18/2022,03/20/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.00,
03/17/2022,03/18/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-28.30,
03/17/2022,03/18/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
03/17/2022,03/18/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
03/18/2022,03/18/2022,Amazon.com*1Z1GT6D12,Shopping,Sale,-8.25,
03/15/2022,03/17/2022,TACO BELL 032759,Food & Drink,Sale,-9.91,
03/15/2022,03/16/2022,SQ *CHEESE ?N? STUFF,Food & Drink,Sale,-9.65,
03/14/2022,03/15/2022,YOGURT PARK,Food & Drink,Sale,-5.60,
03/14/2022,03/14/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
03/13/2022,03/14/2022,CHEVRON 0092050,Gas,Sale,-10.48,
03/14/2022,03/14/2022,APPLE.COM/BILL,Entertainment,Sale,-4.99,
03/11/2022,03/14/2022,CHEF YU ZAZANG,Food & Drink,Sale,-67.00,
03/11/2022,03/13/2022,SQ *SEOUL HOTDOG,Food & Drink,Sale,-5.17,
03/10/2022,03/13/2022,CLAYTON VALLEY BOWL,Entertainment,Sale,-10.00,
03/10/2022,03/13/2022,CLAYTON VALLEY BOWL,Entertainment,Sale,-88.00,
03/09/2022,03/11/2022,JONG GA HOUSE.,Food & Drink,Sale,-185.00,
03/10/2022,03/11/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.50,
03/10/2022,03/11/2022,FUDDRUCKERS 7161,Food & Drink,Sale,-17.00,
03/09/2022,03/10/2022,MCDONALD'S F1745,Food & Drink,Sale,-8.24,
03/09/2022,03/10/2022,CREAM,Food & Drink,Sale,-6.49,
03/08/2022,03/08/2022,Payment Thank You-Mobile,,Payment,910.00,
03/07/2022,03/08/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.50,
03/06/2022,03/07/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-5.91,
03/05/2022,03/06/2022,SONIC.NET,Bills & Utilities,Sale,-52.99,
03/04/2022,03/06/2022,BERKELEY 7,Entertainment,Sale,-9.49,
03/04/2022,03/06/2022,CVS/PHARMACY #03026,Health & Wellness,Sale,-6.58,
03/02/2022,03/03/2022,SQ *KO STOP,Food & Drink,Sale,-30.86,
02/28/2022,03/01/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
02/28/2022,03/01/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.15,
02/28/2022,03/01/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.15,
02/28/2022,03/01/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.50,
02/26/2022,02/28/2022,ROSEVILLE GOLFLAND LTD,Entertainment,Sale,-25.00,
02/27/2022,02/28/2022,TRADER JOE'S #186  QPS,Groceries,Sale,-66.32,
02/27/2022,02/28/2022,RAISING CANE'S 0569,Food & Drink,Sale,-9.36,
02/25/2022,02/27/2022,SHELL OIL 57441251303,Gas,Sale,-59.88,
02/25/2022,02/27/2022,ZANO'S FAMILY ITALIAN &amp;,Food & Drink,Sale,-53.00,
02/24/2022,02/25/2022,TEN CROWS BBQ,Food & Drink,Sale,-117.39,
